BldgID,YearBuilt
NJBF000081138,1956
NJBF000080830,1948
NJBF000083830,1954
NJBF000087414,1977
NJBF000083883,1924
NJBF000072831,2005
NJBF000072900,2005
NJBF000079059,1954
NJBF000076320,1943
NJBF000084559,1966
NJBF000094986,1924
NJBF000094295,2001
NJBF000094338,1986
NJBF000083250,1967
NJBF000094422,1960
NJBF000083234,1959
NJBF000090775,1992
NJBF000084955,1926
NJBF000078030,1960
NJBF000088836,1940
NJBF000088660,1850
NJBF000087566,1925
NJBF000087401,1940
NJBF000087587,1979
NJBF000087378,1940
NJBF000097794,1920
NJBF000084098,1980
NJBF000081299,1979
NJBF000051934,1962
NJBF000085603,1969
NJBF000092355,1966
NJBF000085695,1969
NJBF000085268,1962
NJBF000072995,2003
NJBF000085646,1969
NJBF000085643,1969
NJBF000085550,1969
NJBF000081164,1982
NJBF000090505,1976
NJBF000078796,1925
NJBF000078758,1989
NJBF000092695,2000
NJBF000092701,1997
NJBF000092888,1972
NJBF000088093,1969
NJBF000083113,1949
NJBF000092567,1957
NJBF000087038,1999
NJBF000090784,1956
NJBF000096931,1900
NJBF000086175,1977
NJBF000093477,1969
NJBF000092875,1960
NJBF000077807,1950
NJBF000077794,1950
NJBF000077060,1920
NJBF000086131,1985
NJBF000085883,1950
NJBF000081726,1978
NJBF000091014,1960
NJBF000091023,1960
NJBF000092651,1954
NJBF000092864,1960
NJBF000083877,1955
NJBF000083855,1957
NJBF000083718,1964
NJBF000083994,1952
NJBF000069388,1959
NJBF000069450,1954
NJBF000069466,1954
NJBF000066787,1969
NJBF000066838,1969
NJBF000067006,1969
NJBF000081784,1963
NJBF000073809,1969
NJBF000067057,1969
NJBF000083237,1956
NJBF000078120,1951
NJBF000066970,1969
NJBF000087997,1969
NJBF000084189,1920
NJBF000085562,1910
NJBF000086228,1969
NJBF000087860,1930
NJBF000090596,1989
NJBF000088683,1960
NJBF000083289,1969
NJBF000091114,1976
NJBF000078155,1951
NJBF000069770,1992
NJBF000084965,1984
NJBF000096965,1900
NJBF000071434,1969
NJBF000088732,1963
NJBF000079744,1969
NJBF000079043,1954
NJBF000054245,2013
NJBF000073446,1969
NJBF000091190,2010
NJBF000085896,1985
NJBF000069199,1969
NJBF000094463,1920
NJBF000073099,1969
NJBF000072131,1969
NJBF000096751,1960
NJBF000096151,1955
NJBF000084169,1948
NJBF000078176,1986
NJBF000066935,1969
NJBF000090681,1978
NJBF000075244,1910
NJBF000094186,1988
NJBF000066908,1969
NJBF000052576,2017
NJBF000087665,1969
NJBF000093233,1969
NJBF000087335,1970
NJBF000065217,1969
NJBF000092341,1969
NJBF000085569,1961
NJBF000066882,1969
NJBF000054888,2005
NJBF000085672,1969
NJBF000086111,1980
NJBF000087844,1918
NJBF000067008,1969
NJBF000067001,1969
NJBF000067100,1969
NJBF000067010,1969
NJBF000066947,1969
NJBF000051880,1969
NJBF000066982,1969
NJBF000067036,1969
NJBF000082468,1984
NJBF000066854,1969
NJBF000066976,1969
NJBF000066939,1969
NJBF000066957,1969
NJBF000067028,1969
NJBF000066991,1969
NJBF000077160,1965
NJBF000077130,1950
NJBF000087666,1910
NJBF000097053,1939
NJBF000064016,1999
NJBF000086464,1948
NJBF000070484,1969
NJBF000087003,1975
NJBF000065405,1981
