,Unnamed: 0,filename,address,building_address_full,first_floor_elevation_ft,assessment_type,year_built,effective_year_built,roof_shape,roof_cover,wall_cladding,number_of_stories,building_address_full_cleaned,masked
0,2,Add%27416 Tobago Ln Summerland Key Monroe FL%Complex.jpg,27416 Tobago Ln Summerland Key Monroe FL 33042 US,27416 Tobago Ln Summerland Key Monroe FL 33042 US,0.0,Single Family Residence,1998.0,2000.0,Complex,Metal shingle,Vinyl siding,3.0,27416TobagoLnSummerlandKeyMonroeFL33042US,0.0
1,16,Add%568 Nassau Road Marco Island Collier County FL%Hip_Complex.jpg,568 Nassau Road Marco Island Collier County Florida 34145 United States,568 Nassau Road Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1969.0,1993.0,"Hip,Complex",Tile (clay),Stucco,1.0,568NassauRoadMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
2,386,Add%1370 Hudgins Drive Summerland Key Monroe County FL%Gable.jpg,1370 Hudgins Drive Summerland Key Monroe County Florida 33042 United States,1370 Hudgins Drive Summerland Key Monroe County Florida 33042 United States,0.0,Single Family Residence,1970.0,1989.0,Gable,Asphalt shingles (3-tab),Stucco,1.0,1370HudginsDriveSummerlandKeyMonroeCountyFlorida33042UnitedStates,0.0
3,185,Add%27 North Conch Avenue Conch Key Monroe FL%Flat.jpg,27 North Conch Avenue Conch Key Monroe Florida 33050 United States,27 North Conch Avenue Conch Key Monroe Florida 33050 United States,0.0,Single Family Residence,1969.0,1982.0,Flat,Asphalt shingles (3-tab),Stucco,1.0,27NorthConchAvenueConchKeyMonroeFlorida33050UnitedStates,0.0
4,468,Add%4285 32nd Ave SW Naples Collier FL%Hip.jpg,4285 32nd Ave SW Naples Collier Florida 34116 USA,4285 32nd Ave SW Naples Collier Florida 34116 USA,0.0,Single Family Residence,1984.0,1992.0,Hip/Gable,Asphalt shingles (laminated),Stucco,1.0,428532ndAveSWNaplesCollierFlorida34116USA,0.0
5,208,Add%31243 Avenue E Big Pine Key Monroe County FL%Gable.jpg,31243 Avenue E Big Pine Key Monroe County Florida 33043 United States,31243 Avenue E Big Pine Key Monroe County Florida 33043 United States,8.0,Single Family Residence,2005.0,2005.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,31243AvenueEBigPineKeyMonroeCountyFlorida33043UnitedStates,0.0
6,244,Add%1231 6th Ave Marco Island Collier FL%Gable.jpg,1231 6th Ave Marco Island Collier FL 34145 US,1231 6th Ave Marco Island Collier FL 34145 US,0.0,Single Family Residence,1988.0,1988.0,Gable,Asphalt shingles (laminated),Stucco,1.0,12316thAveMarcoIslandCollierFL34145US,0.0
7,176,Add%27439 Jamaica Ln Ramrod Key Monroe FL%Complex.jpg,27439 Jamaica Ln Ramrod Key Monroe FL 33042 US,27439 Jamaica Ln Ramrod Key Monroe FL 33042 US,8.0,Single Family Residence,1984.0,2000.0,Complex,Asphalt shingles (3-tab),Vinyl siding,1.0,27439JamaicaLnRamrodKeyMonroeFL33042US,0.0
8,643,Add%748 Grenada Ln Little Torch Key Monroe FL%Gable.jpg,748 Grenada Ln Little Torch Key Monroe FL 33042 US,748 Grenada Ln Little Torch Key Monroe FL 33042 US,12.0,Single Family Residence,1991.0,1996.0,Gable,Asphalt shingles (laminated),Wood plank siding,1.0,748GrenadaLnLittleTorchKeyMonroeFL33042US,0.0
9,615,Add%4571 32nd Ave SW Naples Collier FL%Gable.jpg,4571 32nd Ave SW Naples Collier Florida 34116 USA,4571 32nd Ave SW Naples Collier Florida 34116 USA,0.0,Single Family Residence,1982.0,1982.0,Gable,Asphalt shingles (3-tab),Wood plank siding,1.0,457132ndAveSWNaplesCollierFlorida34116USA,0.0
